PostalCode,PostalCode Lat,PostalCode Long,Borough,Venue,Venue Lat,Venue Long,Venue Category
M4M,43.6595255,-79.340923,East Toronto,Queen Books,43.6606506251737,-79.34226723956905,Bookstore
M4M,43.6595255,-79.340923,East Toronto,Hooked,43.66040731524296,-79.34325721641623,Fish Market
M4M,43.6595255,-79.340923,East Toronto,Mercury Espresso Bar,43.66080615235188,-79.34124064841119,Coffee Shop
M4M,43.6595255,-79.340923,East Toronto,Leslieville Cheese Market,43.66054639296253,-79.3423024562941,Cheese Shop
M4M,43.6595255,-79.340923,East Toronto,Purple Penguin Cafe,43.660501150739734,-79.34256490845178,Café
M4M,43.6595255,-79.340923,East Toronto,eastside social,43.661288901982886,-79.33915476536174,Comfort Food Restaurant
M4M,43.6595255,-79.340923,East Toronto,Leslieville,43.66207024392778,-79.33785619823739,Neighborhood
M4M,43.6595255,-79.340923,East Toronto,Baldini,43.661299966369135,-79.33902686943661,Italian Restaurant
M4M,43.6595255,-79.340923,East Toronto,Mean Bao,43.66141729879085,-79.34020909620433,Chinese Restaurant
M4M,43.6595255,-79.340923,East Toronto,Belmonte Raw Food And Juice Bar,43.66137349549827,-79.33865024613198,Juice Bar
M4M,43.6595255,-79.340923,East Toronto,Brick Street Breads,43.66068453213004,-79.3425013474948,Bakery
M4M,43.6595255,-79.340923,East Toronto,Tabule,43.65973096534363,-79.3463408134466,Middle Eastern Restaurant
M4M,43.6595255,-79.340923,East Toronto,Lil' Baci,43.6605116572649,-79.34315072724176,Italian Restaurant
M4M,43.6595255,-79.340923,East Toronto,Boxcar Social,43.659722741351565,-79.34687077721378,Café
M4M,43.6595255,-79.340923,East Toronto,Bonjour Brioche,43.65973440286799,-79.34626614342186,Bakery
M4M,43.6595255,-79.340923,East Toronto,Wonder Pens,43.662809067344405,-79.34145159601191,Stationery Store
M4M,43.6595255,-79.340923,East Toronto,Rashers,43.66085865399193,-79.34111111209337,New American Restaurant
M4M,43.6595255,-79.340923,East Toronto,Starbucks,43.66064023149168,-79.34246131061278,Coffee Shop
M4M,43.6595255,-79.340923,East Toronto,Sweat & Soda,43.66185374187197,-79.33619591158853,Café
